user_id,churn_date,churn_day_since_install,last_level_reached,reason,moves_in_last_session,booster_used_last_session,ad_watch_last_session,time_spent_last_session_min
U100072,2025-06-30,43,4,ads_fatigue,14,False,30,31.86
U100073,2025-08-27,4,3,after_10_moves_no_progress,34,False,17,22.86
U100074,2025-07-14,26,3,session_timeout,18,False,21,34.64
U100075,2025-08-21,7,5,ads_fatigue,21,False,13,22.35
U100076,2025-06-05,13,2,ads_fatigue,17,False,63,103.19
U100077,2025-08-12,38,5,ads_fatigue,16,False,8,6.69
U100078,2025-06-02,30,3,used_booster_then_quit,20,False,22,38.88
U100079,2025-08-01,1,3,ads_fatigue,18,False,4,9.85
U100080,2025-07-09,0,0,used_booster_then_quit,0,False,0,0.0
U100081,2025-08-19,35,1,failed_level_twice,22,False,17,28.6
U100082,2025-05-22,15,1,failed_level_twice,16,True,9,18.76
U100083,2025-08-22,88,4,used_booster_then_quit,22,False,12,15.64
U100084,2025-07-09,61,2,after_10_moves_no_progress,9,False,48,64.76
U100085,2025-08-07,64,4,failed_level_twice,25,False,11,15.81
U100086,2025-08-11,27,2,failed_level_twice,26,False,4,11.1
U100087,2025-08-25,49,6,other,22,False,96,154.18
U100088,2025-08-03,21,2,other,8,False,10,25.49
U100089,2025-07-09,4,3,after_10_moves_no_progress,26,False,7,9.3
U100090,2025-07-04,32,4,used_booster_then_quit,17,False,4,8.94
U100091,2025-07-22,53,3,after_10_moves_no_progress,15,False,0,7.83
U100092,2025-08-14,89,3,after_10_moves_no_progress,20,True,10,13.48
U100093,2025-08-16,6,2,other,21,False,8,7.46
U100094,2025-08-08,26,2,other,17,False,17,26.09
U100095,2025-08-17,86,4,after_10_moves_no_progress,23,False,2,6.61
U100096,2025-06-30,39,2,after_10_moves_no_progress,18,False,19,30.06
U100097,2025-08-24,11,0,after_10_moves_no_progress,0,False,0,0.0
U100098,2025-08-02,4,0,session_timeout,0,False,0,0.0
U100099,2025-07-24,5,1,after_10_moves_no_progress,28,True,20,21.68
U100100,2025-08-25,68,3,session_timeout,20,False,16,30.1
U100101,2025-07-13,42,1,ads_fatigue,13,False,9,13.96
U100102,2025-08-26,0,1,failed_level_twice,18,False,18,23.25
U100103,2025-08-08,4,2,failed_level_twice,18,False,32,49.58
U100104,2025-06-24,18,5,after_10_moves_no_progress,18,False,10,17.72
U100106,2025-08-16,16,1,used_booster_then_quit,15,True,12,28.6
U100107,2025-07-04,29,4,used_booster_then_quit,30,False,12,20.79
U100108,2025-07-11,20,3,session_timeout,28,False,9,7.63
U100109,2025-06-15,23,2,used_booster_then_quit,19,False,3,10.38
U100110,2025-06-23,40,6,failed_level_twice,16,False,10,9.16
U100111,2025-08-18,23,2,failed_level_twice,21,False,10,16.34
U100112,2025-08-24,83,4,failed_level_twice,19,False,7,14.44
U100113,2025-08-18,11,2,used_booster_then_quit,15,False,8,16.92
U100115,2025-07-30,81,1,failed_level_twice,12,False,19,23.71
U100116,2025-08-16,51,4,used_booster_then_quit,16,True,6,14.7
U100118,2025-08-13,10,0,failed_level_twice,0,False,0,0.0
U100119,2025-08-03,3,0,after_10_moves_no_progress,0,False,0,0.0
U100120,2025-06-21,10,3,after_10_moves_no_progress,27,False,7,10.92
U100121,2025-07-28,34,2,used_booster_then_quit,13,False,9,15.7
U100122,2025-08-27,47,3,after_10_moves_no_progress,19,False,10,11.41
U100124,2025-07-22,43,4,after_10_moves_no_progress,20,False,26,24.2
U100125,2025-08-19,0,0,ads_fatigue,0,False,0,0.0
U100126,2025-08-01,60,2,used_booster_then_quit,12,False,13,20.15
U100127,2025-08-27,0,1,failed_level_twice,16,False,8,12.7
U100128,2025-08-17,28,2,other,16,False,6,13.13
U100129,2025-08-07,43,3,other,11,False,30,49.64
U100130,2025-08-06,24,1,other,12,False,24,35.43
U100131,2025-08-23,82,2,after_10_moves_no_progress,12,False,9,13.53
U100132,2025-08-16,75,1,ads_fatigue,17,False,5,6.83
U100133,2025-07-30,77,2,after_10_moves_no_progress,28,False,5,7.93
U100134,2025-06-08,25,6,used_booster_then_quit,19,False,12,16.28
U100135,2025-07-04,23,2,ads_fatigue,8,False,25,33.28
U100136,2025-08-25,25,4,used_booster_then_quit,20,False,13,18.8
U100137,2025-08-25,44,1,after_10_moves_no_progress,10,False,9,14.76
U100138,2025-07-27,75,4,used_booster_then_quit,19,False,6,4.94
U100139,2025-08-16,5,7,used_booster_then_quit,17,False,4,7.76
U100140,2025-07-19,7,1,after_10_moves_no_progress,7,False,5,18.75
U100141,2025-08-25,1,1,failed_level_twice,30,False,5,9.56
U100142,2025-08-25,36,2,used_booster_then_quit,25,False,22,22.03
U100143,2025-07-04,43,4,failed_level_twice,11,False,16,34.3
U100144,2025-07-23,27,0,session_timeout,0,False,0,0.0
U100145,2025-07-30,13,3,failed_level_twice,19,False,2,7.18
U100146,2025-05-05,1,2,after_10_moves_no_progress,26,False,29,25.16
U100147,2025-07-01,60,1,used_booster_then_quit,16,True,12,14.47
U100148,2025-07-17,62,2,ads_fatigue,14,False,10,16.44
U100149,2025-08-17,78,9,used_booster_then_quit,20,False,34,43.52
U100150,2025-07-13,22,2,after_10_moves_no_progress,20,False,27,38.38
U100151,2025-07-06,8,1,after_10_moves_no_progress,19,False,31,53.69
U100152,2025-06-12,26,3,after_10_moves_no_progress,27,False,19,25.75
U100153,2025-08-08,19,1,used_booster_then_quit,15,False,14,29.09
U100154,2025-07-29,18,2,after_10_moves_no_progress,16,False,16,32.16
U100155,2025-08-26,82,4,after_10_moves_no_progress,22,False,11,8.74
U100156,2025-05-24,22,1,failed_level_twice,20,False,22,35.69
U100157,2025-08-05,87,8,session_timeout,22,False,10,15.94
U100158,2025-06-24,7,0,session_timeout,18,False,13,21.34
U100159,2025-06-24,36,2,ads_fatigue,19,False,31,37.0
U100160,2025-07-14,29,1,ads_fatigue,12,False,5,8.54
U100161,2025-07-18,3,3,failed_level_twice,20,False,11,13.63
U100162,2025-07-23,18,4,failed_level_twice,21,False,15,26.2
U100163,2025-07-13,46,5,failed_level_twice,23,False,27,29.48
U100164,2025-07-14,33,3,failed_level_twice,22,False,7,10.71
U100165,2025-07-21,8,3,ads_fatigue,29,False,15,27.73
U100166,2025-08-12,0,0,failed_level_twice,0,False,0,0.0
U100167,2025-08-05,6,3,used_booster_then_quit,14,False,3,4.83
U100168,2025-07-18,12,1,failed_level_twice,4,False,40,53.62
U100169,2025-07-21,38,3,after_10_moves_no_progress,5,False,23,33.7
U100170,2025-06-16,3,2,used_booster_then_quit,29,False,6,14.06
U100171,2025-08-27,13,2,after_10_moves_no_progress,3,False,25,38.23
U100172,2025-07-11,67,3,after_10_moves_no_progress,12,False,13,26.73
U100173,2025-08-27,0,1,ads_fatigue,22,False,8,13.46
U100174,2025-08-20,32,4,ads_fatigue,4,False,4,7.81
U100175,2025-08-11,21,2,after_10_moves_no_progress,18,False,41,44.02
U100176,2025-06-27,53,4,failed_level_twice,15,False,11,18.18
U100177,2025-08-14,33,1,after_10_moves_no_progress,28,False,19,22.17
U100178,2025-08-24,57,1,after_10_moves_no_progress,26,False,9,7.43
U100179,2025-07-02,50,5,used_booster_then_quit,25,False,5,3.67
U100180,2025-08-15,73,3,other,17,False,21,23.65
U100181,2025-08-24,9,0,other,18,False,21,27.59
U100182,2025-07-05,0,0,used_booster_then_quit,0,False,0,0.0
U100183,2025-07-11,22,0,other,0,False,0,0.0
U100184,2025-07-14,66,5,failed_level_twice,20,False,4,7.62
U100185,2025-08-22,28,2,after_10_moves_no_progress,24,False,19,23.32
U100186,2025-07-26,2,0,failed_level_twice,0,False,0,0.0
U100187,2025-08-06,24,2,ads_fatigue,18,False,31,31.65
U100188,2025-08-01,31,3,failed_level_twice,8,False,7,17.31
U100189,2025-07-15,23,2,ads_fatigue,23,False,16,28.96
U100190,2025-08-10,30,2,used_booster_then_quit,8,False,7,15.62
U100191,2025-06-01,3,1,ads_fatigue,12,False,5,13.82
U100192,2025-08-27,6,4,used_booster_then_quit,23,False,13,18.25
U100193,2025-08-22,43,5,ads_fatigue,24,False,25,34.43
U100194,2025-08-20,74,3,after_10_moves_no_progress,18,False,16,27.13
U100195,2025-08-08,46,1,other,25,False,5,5.26
U100196,2025-08-21,16,3,used_booster_then_quit,17,False,8,11.87
U100197,2025-06-19,30,5,other,21,False,14,16.58
U100198,2025-07-12,37,6,ads_fatigue,30,False,32,38.12
U100199,2025-07-30,9,1,after_10_moves_no_progress,23,False,6,8.13
U100200,2025-07-01,24,3,used_booster_then_quit,6,False,37,39.17
U100201,2025-08-07,3,1,used_booster_then_quit,23,False,19,39.52
U100202,2025-07-08,53,2,failed_level_twice,13,False,6,11.51
U100203,2025-08-24,24,3,failed_level_twice,14,False,6,5.38
U100204,2025-06-04,26,4,used_booster_then_quit,25,False,6,11.86
U100205,2025-07-07,66,3,failed_level_twice,18,False,3,5.86
U100207,2025-08-06,28,1,after_10_moves_no_progress,16,False,10,15.2
U100208,2025-08-22,71,3,after_10_moves_no_progress,20,False,24,26.88
U100209,2025-06-20,23,7,failed_level_twice,27,False,7,6.84
U100210,2025-07-14,0,0,other,0,False,0,0.0
U100211,2025-08-22,52,3,after_10_moves_no_progress,23,False,5,4.4
U100212,2025-08-27,0,1,used_booster_then_quit,28,False,1,4.01
U100214,2025-07-23,7,0,after_10_moves_no_progress,0,False,0,0.0
U100215,2025-08-12,50,3,used_booster_then_quit,15,False,18,22.79
U100216,2025-08-05,38,5,other,13,False,14,18.74
U100217,2025-08-26,36,2,after_10_moves_no_progress,15,False,14,11.82
U100218,2025-08-08,87,1,failed_level_twice,13,False,11,21.27
U100219,2025-07-23,44,5,failed_level_twice,19,False,19,32.31
U100220,2025-06-14,35,3,ads_fatigue,26,False,20,25.36
U100221,2025-06-12,34,4,used_booster_then_quit,10,True,28,27.61
U100222,2025-08-18,86,6,other,21,False,18,34.05
U100223,2025-07-05,7,4,ads_fatigue,12,False,1,4.14
U100224,2025-08-03,0,2,after_10_moves_no_progress,15,False,10,19.72
U100225,2025-08-15,48,4,ads_fatigue,27,False,26,33.09
U100226,2025-07-06,26,3,session_timeout,14,False,17,19.71
U100227,2025-06-15,36,3,after_10_moves_no_progress,9,False,5,14.8
U100228,2025-08-25,50,4,ads_fatigue,13,False,12,10.51
U100229,2025-08-08,67,2,ads_fatigue,24,False,35,63.48
U100230,2025-08-05,23,1,after_10_moves_no_progress,15,False,5,9.09
U100231,2025-08-27,1,1,other,4,False,23,40.04
U100232,2025-06-19,36,3,failed_level_twice,21,False,55,85.16
U100233,2025-07-01,36,3,after_10_moves_no_progress,13,False,17,27.88
U100234,2025-08-18,53,7,after_10_moves_no_progress,11,False,23,27.51
U100235,2025-08-25,0,0,after_10_moves_no_progress,0,False,0,0.0
U100236,2025-08-17,16,1,after_10_moves_no_progress,16,False,18,30.93
U100237,2025-08-23,7,2,failed_level_twice,24,False,36,41.54
U100238,2025-08-16,67,4,after_10_moves_no_progress,17,True,9,20.61
U100240,2025-07-23,71,4,after_10_moves_no_progress,12,False,14,15.81
U100241,2025-06-16,40,5,other,19,False,35,50.58
U100242,2025-08-20,9,3,after_10_moves_no_progress,12,False,14,22.82
U100243,2025-08-24,4,1,used_booster_then_quit,30,False,3,11.58
U100244,2025-06-06,26,2,after_10_moves_no_progress,21,False,23,48.46
U100245,2025-05-27,13,3,used_booster_then_quit,19,False,5,12.67
U100246,2025-05-28,24,3,ads_fatigue,23,False,44,45.17
U100247,2025-05-20,7,2,other,13,False,9,10.2
U100248,2025-06-01,6,2,after_10_moves_no_progress,11,False,14,19.65
U100249,2025-08-25,0,2,after_10_moves_no_progress,21,False,10,17.24
U100250,2025-07-21,1,1,other,15,False,9,15.62
U100251,2025-08-08,6,1,after_10_moves_no_progress,19,False,11,15.98
U100252,2025-08-17,15,0,session_timeout,15,False,10,11.9
U100253,2025-08-14,41,6,used_booster_then_quit,15,False,8,15.46
U100254,2025-08-13,9,3,used_booster_then_quit,18,False,18,29.37
U100255,2025-07-19,8,1,ads_fatigue,25,False,8,23.93
U100256,2025-07-05,28,2,used_booster_then_quit,22,False,19,26.47
U100257,2025-07-26,19,2,ads_fatigue,19,False,12,19.85
U100258,2025-08-21,48,2,ads_fatigue,18,False,15,17.57
U100259,2025-08-08,1,1,ads_fatigue,18,True,58,83.05
U100260,2025-08-26,0,1,failed_level_twice,20,False,16,23.93
U100261,2025-07-31,42,6,other,12,False,26,49.26
U100262,2025-08-08,8,2,after_10_moves_no_progress,15,False,13,15.19
U100263,2025-07-01,50,3,other,23,False,23,28.34
U100264,2025-08-08,6,0,after_10_moves_no_progress,0,False,0,0.0
U100265,2025-08-20,67,5,used_booster_then_quit,23,False,6,11.01
U100266,2025-05-05,0,0,after_10_moves_no_progress,0,False,0,0.0
U100267,2025-08-09,57,5,after_10_moves_no_progress,20,False,6,12.32
U100268,2025-08-21,39,4,after_10_moves_no_progress,20,False,7,8.69
U100270,2025-08-20,1,2,failed_level_twice,16,False,7,11.82
U100271,2025-07-01,52,3,used_booster_then_quit,15,False,19,40.52
U100272,2025-08-22,2,1,other,20,False,8,12.85
U100273,2025-08-23,30,0,used_booster_then_quit,22,True,1,5.75
U100274,2025-06-09,0,2,used_booster_then_quit,17,False,20,30.83
U100275,2025-07-21,35,4,after_10_moves_no_progress,16,False,13,12.92
U100276,2025-07-28,0,1,used_booster_then_quit,11,False,12,24.4
U100277,2025-08-08,27,3,after_10_moves_no_progress,14,True,1,7.06
U100278,2025-08-18,29,2,after_10_moves_no_progress,28,False,26,27.68
U100279,2025-06-27,11,1,after_10_moves_no_progress,13,True,12,13.19
U100280,2025-07-13,15,1,ads_fatigue,20,False,11,21.18
U100281,2025-08-27,0,1,ads_fatigue,23,True,20,27.72
U100282,2025-08-14,80,3,after_10_moves_no_progress,24,False,10,17.17
U100283,2025-06-26,6,2,used_booster_then_quit,13,False,8,15.92
U100284,2025-07-06,31,1,ads_fatigue,16,False,15,13.58
U100285,2025-08-19,19,2,used_booster_then_quit,27,False,15,21.56
U100286,2025-08-12,12,2,used_booster_then_quit,8,False,16,27.95
U100287,2025-07-12,37,2,ads_fatigue,9,False,6,7.7
U100288,2025-06-26,47,4,used_booster_then_quit,14,False,24,39.27
U100289,2025-07-03,62,3,after_10_moves_no_progress,7,False,12,21.14
U100290,2025-08-12,52,4,failed_level_twice,11,False,13,22.33
U100291,2025-08-17,59,5,failed_level_twice,17,False,61,96.77
U100292,2025-08-27,0,0,after_10_moves_no_progress,0,False,0,0.0
U100293,2025-08-16,51,0,other,0,False,0,0.0
U100294,2025-07-09,39,2,ads_fatigue,18,False,18,25.44
U100295,2025-08-25,10,1,after_10_moves_no_progress,10,False,3,7.92
U100296,2025-07-31,33,2,used_booster_then_quit,26,False,10,13.41
U100297,2025-08-19,39,5,session_timeout,16,False,6,11.82
U100298,2025-06-16,35,0,other,0,False,0,0.0
U100299,2025-08-26,72,6,other,23,False,17,21.33
U100300,2025-08-25,3,1,after_10_moves_no_progress,22,False,18,22.41
U100301,2025-08-18,39,5,other,6,False,3,3.21
U100302,2025-08-21,71,3,other,23,False,18,22.32
U100303,2025-07-26,11,2,used_booster_then_quit,15,False,9,13.94
U100305,2025-06-19,17,4,used_booster_then_quit,21,False,9,16.33
U100306,2025-08-27,58,2,after_10_moves_no_progress,21,False,17,32.06
U100307,2025-08-25,1,1,after_10_moves_no_progress,19,True,17,20.27
U100308,2025-06-21,31,2,after_10_moves_no_progress,11,False,29,29.48
U100309,2025-08-20,25,3,ads_fatigue,14,False,13,16.89
U100310,2025-07-23,10,2,failed_level_twice,24,False,45,74.17
U100311,2025-08-22,32,4,used_booster_then_quit,17,False,15,30.09
U100312,2025-08-03,52,2,after_10_moves_no_progress,15,False,12,22.06
U100313,2025-06-08,1,1,after_10_moves_no_progress,16,False,14,13.52
U100314,2025-08-14,23,1,session_timeout,21,False,12,13.81
U100315,2025-07-17,52,4,other,5,False,23,27.65
U100316,2025-07-27,37,3,ads_fatigue,21,False,5,7.1
U100317,2025-08-02,71,4,session_timeout,31,False,7,7.27
U100318,2025-06-19,49,3,after_10_moves_no_progress,20,False,6,14.6
U100319,2025-08-25,0,0,ads_fatigue,0,False,0,0.0
U100320,2025-07-15,24,0,ads_fatigue,0,False,0,0.0
U100321,2025-08-26,1,3,used_booster_then_quit,20,False,8,24.6
U100322,2025-05-17,0,0,after_10_moves_no_progress,0,False,0,0.0
U100323,2025-08-20,41,2,failed_level_twice,13,False,15,24.78
U100324,2025-07-14,50,4,after_10_moves_no_progress,19,True,19,32.9
U100325,2025-08-22,19,2,used_booster_then_quit,16,False,29,43.57
U100326,2025-08-03,0,1,ads_fatigue,22,False,16,24.22
U100327,2025-07-17,64,0,ads_fatigue,0,False,0,0.0
U100328,2025-08-19,1,0,other,0,False,0,0.0
U100329,2025-07-24,61,2,after_10_moves_no_progress,15,False,15,17.9
U100330,2025-07-13,0,2,failed_level_twice,13,False,18,30.34
U100333,2025-08-24,1,2,other,25,False,14,17.89
U100334,2025-07-15,34,4,failed_level_twice,20,False,64,111.63
U100335,2025-07-16,64,3,session_timeout,15,False,11,20.77
U100336,2025-06-14,22,1,ads_fatigue,10,False,10,11.48
U100337,2025-07-17,17,0,after_10_moves_no_progress,8,False,7,12.31
U100338,2025-08-15,11,0,ads_fatigue,0,False,0,0.0
U100339,2025-07-13,55,3,ads_fatigue,26,False,16,24.76
U100340,2025-07-29,10,1,other,13,False,23,40.42
U100341,2025-08-12,65,3,other,17,False,17,16.67
U100342,2025-06-20,10,2,ads_fatigue,23,False,15,17.27
U100343,2025-08-03,15,1,after_10_moves_no_progress,21,True,8,12.14
U100344,2025-08-27,62,6,after_10_moves_no_progress,10,False,5,8.45
U100345,2025-08-17,11,3,after_10_moves_no_progress,15,False,17,19.91
U100346,2025-07-07,49,4,used_booster_then_quit,10,False,2,5.2
U100347,2025-08-17,14,2,used_booster_then_quit,20,False,15,21.93
U100348,2025-07-05,58,2,other,18,False,1,8.54
U100349,2025-06-06,13,4,used_booster_then_quit,18,False,9,8.95
U100350,2025-07-27,9,3,ads_fatigue,32,False,11,19.31
U100351,2025-08-13,2,3,session_timeout,21,False,5,5.54
U100352,2025-07-05,35,7,used_booster_then_quit,27,False,22,30.73
U100353,2025-07-15,36,2,after_10_moves_no_progress,17,False,13,28.94
U100354,2025-07-07,3,2,ads_fatigue,26,False,19,35.57
U100355,2025-07-11,46,6,used_booster_then_quit,18,False,13,18.89
U100356,2025-08-22,16,1,failed_level_twice,21,False,17,19.63
U100357,2025-08-03,2,1,used_booster_then_quit,21,False,9,20.7
U100358,2025-07-11,54,2,session_timeout,16,False,15,10.85
U100359,2025-08-22,58,7,used_booster_then_quit,25,False,20,27.96
U100360,2025-08-10,9,1,failed_level_twice,16,False,16,29.53
U100361,2025-08-13,64,2,ads_fatigue,9,False,7,13.5
U100362,2025-07-26,11,0,used_booster_then_quit,0,False,0,0.0
U100363,2025-07-26,80,5,other,14,False,6,9.92
U100364,2025-08-01,19,0,ads_fatigue,0,False,0,0.0
U100365,2025-06-29,41,4,session_timeout,22,True,11,14.52
U100366,2025-08-08,0,0,after_10_moves_no_progress,0,False,0,0.0
U100367,2025-06-13,1,1,other,15,True,4,10.27
U100368,2025-08-01,59,2,used_booster_then_quit,19,False,7,12.02
U100369,2025-08-11,2,1,failed_level_twice,13,False,6,10.59
U100370,2025-06-09,33,2,used_booster_then_quit,20,False,36,65.6
U100371,2025-06-17,0,0,used_booster_then_quit,0,False,0,0.0
U100372,2025-06-20,6,0,ads_fatigue,0,False,0,0.0
U100374,2025-08-18,0,2,session_timeout,10,False,14,10.28
U100375,2025-08-26,27,3,used_booster_then_quit,15,False,16,12.07
U100376,2025-08-04,88,3,ads_fatigue,16,False,5,8.36
U100377,2025-08-26,32,5,failed_level_twice,25,False,14,21.88
U100378,2025-07-26,23,5,after_10_moves_no_progress,25,False,6,8.86
U100379,2025-08-25,8,1,other,22,False,5,5.69
U100380,2025-06-12,5,1,used_booster_then_quit,31,False,8,10.52
U100381,2025-08-10,33,2,after_10_moves_no_progress,14,False,31,45.99
U100382,2025-06-30,0,2,after_10_moves_no_progress,17,False,8,18.17
U100383,2025-08-21,54,1,after_10_moves_no_progress,27,False,5,8.48
U100384,2025-08-02,39,7,ads_fatigue,22,False,10,11.53
U100385,2025-05-25,0,1,after_10_moves_no_progress,13,True,8,15.09
U100386,2025-07-30,0,0,after_10_moves_no_progress,0,False,0,0.0
U100387,2025-08-08,45,10,after_10_moves_no_progress,19,False,8,22.0
U100389,2025-07-19,48,5,session_timeout,29,False,2,7.33
U100390,2025-07-22,1,1,other,17,False,5,7.64
U100391,2025-08-21,0,1,used_booster_then_quit,20,True,11,20.64
U100392,2025-07-27,8,2,used_booster_then_quit,12,True,22,31.09
U100393,2025-08-24,11,2,after_10_moves_no_progress,18,False,19,23.75
U100394,2025-08-09,1,2,after_10_moves_no_progress,13,False,15,27.8
U100396,2025-08-13,32,1,other,18,True,11,17.17
U100397,2025-07-27,69,1,used_booster_then_quit,22,False,3,3.72
U100398,2025-07-23,19,2,used_booster_then_quit,12,False,19,22.15
U100399,2025-08-08,72,4,after_10_moves_no_progress,20,False,21,24.43
U100400,2025-08-25,27,2,after_10_moves_no_progress,20,False,11,14.25
U100401,2025-07-17,14,2,failed_level_twice,25,True,9,8.04
U100402,2025-07-12,23,4,after_10_moves_no_progress,23,False,48,67.11
U100403,2025-07-15,43,3,failed_level_twice,12,False,18,36.01
U100405,2025-08-01,84,3,other,18,False,17,20.14
U100406,2025-07-26,81,4,after_10_moves_no_progress,20,False,5,11.2
U100407,2025-07-26,60,1,used_booster_then_quit,18,False,14,28.09
U100408,2025-08-25,0,1,after_10_moves_no_progress,26,False,8,8.96
U100411,2025-08-19,5,4,other,17,False,37,58.55
U100412,2025-06-01,6,1,used_booster_then_quit,21,False,6,9.07
U100413,2025-08-25,0,0,used_booster_then_quit,0,False,0,0.0
U100414,2025-07-15,58,1,failed_level_twice,8,False,3,8.94
U100415,2025-06-16,34,5,after_10_moves_no_progress,23,False,16,17.29
U100416,2025-08-05,83,7,other,34,False,10,15.14
U100417,2025-07-19,11,3,failed_level_twice,19,False,15,25.63
U100418,2025-08-19,17,2,session_timeout,16,False,5,7.16
U100419,2025-07-27,43,4,failed_level_twice,22,False,15,28.81
U100420,2025-08-26,0,2,failed_level_twice,5,False,5,8.59
U100421,2025-07-23,31,3,after_10_moves_no_progress,11,False,21,28.53
U100422,2025-07-07,49,1,after_10_moves_no_progress,23,False,8,17.52
U100423,2025-07-15,20,2,ads_fatigue,23,False,6,13.4
U100424,2025-08-10,20,3,after_10_moves_no_progress,19,False,43,76.07
U100425,2025-08-26,18,4,used_booster_then_quit,24,False,9,27.25
U100426,2025-07-05,10,2,ads_fatigue,23,False,12,12.01
U100427,2025-07-12,1,2,other,30,False,16,20.3
U100428,2025-08-15,74,3,session_timeout,28,False,3,4.88
