user_id,date,day_since_install,active,time_spent_min,interstitial_impressions,rewarded_impressions,ad_revenue_usd,iap_revenue_usd
U100013,2025-08-26,16,1,13.44,4,1,0.05,0.0
U100014,2025-05-26,0,1,49.54,28,8,0.364,0.0
U100014,2025-06-08,13,1,15.84,4,2,0.064,0.0
U100014,2025-06-19,24,1,12.75,4,2,0.064,0.0
U100015,2025-07-14,0,1,12.86,8,3,0.15,0.0
U100015,2025-07-31,17,1,14.74,13,2,0.192,0.0
U100015,2025-08-23,40,1,11.87,7,2,0.12,0.0
U100016,2025-05-21,12,1,12.02,6,1,0.068,0.0
U100017,2025-08-10,1,1,22.71,9,1,0.095,0.0
U100018,2025-05-21,0,1,24.78,11,2,0.127,0.0
U100018,2025-05-25,4,1,23.29,5,3,0.087,0.0
U100018,2025-05-26,5,1,21.79,11,5,0.169,0.0
U100019,2025-05-09,0,1,10.15,1,2,0.048,0.0
U100019,2025-05-14,5,1,36.38,20,7,0.366,0.0
U100019,2025-05-17,8,1,8.85,5,0,0.06,0.0
U100020,2025-06-18,0,1,61.89,25,10,0.48,0.0
U100020,2025-06-21,3,1,33.28,27,2,0.36,0.0
U100020,2025-06-30,12,1,39.58,18,5,0.306,0.0
U100020,2025-08-04,47,1,16.79,9,3,0.162,0.0
U100020,2025-08-10,53,1,40.41,22,4,0.336,0.0
U100021,2025-07-09,0,1,67.3,42,10,0.684,0.0
U100021,2025-07-10,1,1,14.23,10,1,0.138,0.0
U100021,2025-07-11,2,1,23.55,17,3,0.258,0.0
U100021,2025-07-12,3,1,19.38,10,5,0.21,0.0
U100021,2025-07-18,9,1,50.67,36,13,0.666,0.0
U100021,2025-07-24,15,1,36.7,19,2,0.264,0.0
U100021,2025-08-01,23,1,57.39,19,11,0.426,0.0
U100021,2025-08-27,49,1,42.88,23,7,0.402,0.0
U100022,2025-08-11,0,1,6.27,6,0,0.072,0.0
U100022,2025-08-19,8,1,6.78,7,1,0.102,0.0
U100023,2025-08-25,0,1,10.41,2,1,0.042,0.0
U100024,2025-06-25,3,1,31.67,19,6,0.255,0.0
U100024,2025-07-04,12,1,54.11,32,8,0.4,0.0
U100024,2025-07-08,16,1,29.38,18,5,0.232,0.0
U100024,2025-08-04,43,1,86.54,46,16,0.638,0.0
U100025,2025-05-08,0,1,15.9,10,3,0.174,0.0
U100025,2025-05-09,1,1,8.14,3,1,0.054,0.0
U100025,2025-05-16,8,1,14.06,11,0,0.132,0.0
U100025,2025-06-01,24,1,15.39,13,4,0.228,0.0
U100025,2025-07-16,69,1,8.13,2,1,0.042,0.0
U100026,2025-07-29,0,1,1.57,3,1,0.041,0.0
U100026,2025-08-03,5,1,2.47,2,0,0.018,0.0
U100026,2025-08-06,8,1,5.53,2,0,0.018,0.0
U100026,2025-08-11,13,1,4.06,1,1,0.023,0.0
U100026,2025-08-18,20,1,3.55,2,1,0.032,0.0
U100027,2025-07-07,0,1,29.83,8,5,0.142,0.0
U100027,2025-07-11,4,1,75.45,37,9,0.459,0.0
U100027,2025-07-13,6,1,38.03,12,10,0.248,0.0
U100027,2025-07-23,16,1,61.85,24,6,0.3,0.0
U100027,2025-08-04,28,1,64.43,30,5,0.34,0.0
U100027,2025-08-07,31,1,24.55,16,4,0.2,0.0
U100028,2025-06-23,0,1,22.2,14,3,0.222,0.0
U100028,2025-06-25,2,1,27.29,10,2,0.156,0.0
U100029,2025-06-07,0,1,8.72,6,2,0.108,0.0
U100029,2025-07-06,29,1,21.68,13,6,0.264,2.5505180142684956
U100029,2025-07-07,30,1,13.42,5,0,0.06,0.0
U100029,2025-08-23,77,1,27.93,17,3,0.258,0.0
U100030,2025-06-30,0,1,22.16,10,2,0.118,0.0
U100030,2025-07-02,2,1,29.42,11,6,0.183,0.0
U100030,2025-07-06,6,1,8.89,3,0,0.027,0.0
U100031,2025-06-10,0,1,34.74,20,10,0.32,0.0
U100031,2025-06-14,4,1,52.44,24,8,0.328,0.0
U100031,2025-06-17,7,1,10.31,5,1,0.059,0.0
U100031,2025-07-24,44,1,34.42,15,3,0.177,0.0
U100031,2025-08-04,55,1,22.39,15,1,0.149,0.0
U100031,2025-08-12,63,1,18.93,11,3,0.141,0.0
U100032,2025-07-30,0,1,13.11,6,3,0.126,0.0
U100032,2025-08-03,4,1,30.97,16,7,0.318,0.0
U100032,2025-08-13,14,1,22.2,9,2,0.144,0.0
U100033,2025-07-05,0,1,37.94,22,3,0.24,0.0
U100033,2025-07-10,5,1,22.63,10,6,0.174,0.0
U100033,2025-07-14,9,1,11.29,6,3,0.096,0.0
U100033,2025-08-10,36,1,10.85,6,2,0.082,0.0
U100033,2025-08-15,41,1,34.04,15,3,0.177,0.0
U100033,2025-08-19,45,1,15.22,8,1,0.086,0.0
U100034,2025-08-14,0,1,33.22,17,5,0.294,0.0
U100035,2025-07-05,0,1,8.92,4,0,0.036,0.0
U100035,2025-07-06,1,1,18.61,10,2,0.118,0.0
U100035,2025-07-07,2,1,7.29,3,2,0.055,0.0
U100035,2025-07-08,3,1,4.22,2,2,0.046,0.0
U100035,2025-07-12,7,1,12.86,3,0,0.027,0.0
U100035,2025-07-13,8,1,8.04,0,0,0.0,0.0
U100035,2025-07-20,15,1,8.68,3,2,0.055,0.0
U100035,2025-07-21,16,1,6.55,7,3,0.105,0.0
U100035,2025-08-06,32,1,3.92,1,1,0.023,0.0
U100036,2025-05-29,0,1,37.33,21,7,0.378,0.0
U100036,2025-05-30,1,1,12.94,4,1,0.066,0.0
U100036,2025-06-16,18,1,12.96,12,3,0.198,0.0
U100036,2025-06-19,21,1,15.76,7,1,0.102,0.0
U100037,2025-08-11,0,1,23.63,12,7,0.27,0.0
U100037,2025-08-15,4,1,11.7,2,2,0.06,0.0
U100038,2025-07-06,0,1,8.79,2,2,0.06,0.0
U100038,2025-07-07,1,1,16.61,8,2,0.132,0.0
U100038,2025-07-09,3,1,6.72,6,0,0.072,0.0
U100038,2025-08-06,31,1,6.38,4,1,0.066,0.0
U100038,2025-08-16,41,1,23.53,12,2,0.18,0.0
U100039,2025-05-25,0,1,58.63,35,5,0.385,0.0
U100039,2025-05-26,1,1,20.7,9,5,0.151,0.0
U100039,2025-06-02,8,1,23.53,12,7,0.206,0.0
U100039,2025-07-02,38,1,17.49,10,3,0.132,0.0
U100040,2025-07-14,0,1,5.72,3,3,0.069,0.0
U100040,2025-07-19,5,1,17.44,6,4,0.11,0.0
U100040,2025-08-09,26,1,20.53,12,6,0.192,0.0
U100040,2025-08-11,28,1,11.87,5,2,0.073,0.0
U100041,2025-06-12,0,1,18.11,11,3,0.186,0.0
U100041,2025-06-19,7,1,61.64,32,8,0.528,0.0
U100041,2025-06-27,15,1,14.53,8,2,0.132,0.0
U100041,2025-07-06,24,1,18.43,9,0,0.108,0.0
U100041,2025-07-15,33,1,26.23,11,4,0.204,0.0
U100041,2025-07-27,45,1,57.24,37,13,0.678,0.0
U100041,2025-08-10,59,1,13.4,9,2,0.144,0.0
U100042,2025-08-10,0,1,8.93,2,2,0.06,0.0
U100042,2025-08-12,2,1,14.02,7,3,0.138,0.0
U100043,2025-06-24,0,1,21.39,13,3,0.21,0.0
U100043,2025-06-25,1,1,21.41,23,1,0.294,0.0
U100043,2025-06-27,3,1,15.53,6,6,0.18,0.0
U100044,2025-07-28,1,1,40.19,17,6,0.312,0.0
U100044,2025-07-29,2,1,23.54,11,2,0.168,0.0
U100044,2025-08-23,27,1,30.02,13,3,0.21,0.0
U100044,2025-08-25,29,1,30.8,14,4,0.24,0.0
U100045,2025-05-12,0,1,15.39,8,3,0.15,0.0
U100045,2025-07-06,55,1,9.36,4,1,0.066,0.0
U100046,2025-06-17,0,1,17.95,7,5,0.174,0.0
U100046,2025-06-22,5,1,15.93,7,2,0.12,0.0
U100046,2025-07-23,36,1,70.35,43,13,0.75,0.0
U100047,2025-08-26,0,1,9.28,6,4,0.144,0.0
U100047,2025-08-27,1,1,13.62,8,3,0.15,0.0
U100047,2025-08-28,2,1,15.14,3,7,0.162,0.0
U100048,2025-08-06,0,1,10.42,8,3,0.15,0.0
U100048,2025-08-09,3,1,15.92,5,4,0.132,0.0
U100048,2025-08-11,5,1,7.73,4,3,0.102,0.0
U100049,2025-05-20,0,1,8.36,5,1,0.059,0.0
U100049,2025-05-23,3,1,24.41,16,5,0.214,0.0
U100049,2025-05-29,9,1,13.43,6,5,0.124,0.0
U100049,2025-06-25,36,1,25.75,8,5,0.142,0.0
U100050,2025-06-03,0,1,37.22,20,2,0.208,0.0
U100050,2025-06-25,22,1,29.14,12,7,0.206,0.0
U100050,2025-08-11,69,1,31.6,22,3,0.24,0.0
U100051,2025-06-09,0,1,15.9,7,1,0.077,0.0
U100051,2025-06-14,5,1,7.73,3,2,0.055,0.0
U100051,2025-06-22,13,1,10.65,5,0,0.045,0.0
U100051,2025-07-19,40,1,6.29,3,0,0.027,0.0
U100051,2025-07-26,47,1,9.77,3,0,0.027,0.0
U100051,2025-07-29,50,1,17.96,2,3,0.06,0.0
U100052,2025-07-29,11,1,17.64,7,7,0.161,0.0
U100052,2025-08-06,19,1,30.93,15,7,0.233,0.0
U100053,2025-07-30,0,1,17.55,12,6,0.252,0.0
U100053,2025-07-31,1,1,10.18,4,2,0.084,0.0
U100053,2025-08-04,5,1,16.67,10,2,0.156,0.0
U100053,2025-08-06,7,1,11.14,5,1,0.078,0.0
U100053,2025-08-11,12,1,14.84,5,4,0.132,0.0
U100054,2025-07-29,0,1,14.85,6,3,0.126,0.0
U100054,2025-07-31,2,1,24.06,9,4,0.18,0.0
U100055,2025-07-03,2,1,18.99,9,3,0.123,0.0
U100055,2025-07-19,18,1,35.6,15,4,0.191,0.0
U100056,2025-08-06,0,1,15.73,11,4,0.155,0.0
U100056,2025-08-19,13,1,13.07,8,1,0.086,0.0
U100057,2025-06-22,0,1,2.17,2,1,0.042,0.0
U100057,2025-06-24,2,1,5.52,1,0,0.012,0.0
U100057,2025-06-27,5,1,4.02,0,0,0.0,0.0
U100057,2025-07-07,15,1,4.83,2,1,0.042,0.0
U100058,2025-05-15,0,1,5.77,1,1,0.03,0.0
U100058,2025-06-03,19,1,7.18,7,0,0.084,0.0
U100058,2025-06-24,40,1,8.81,7,2,0.12,0.0
U100058,2025-07-05,51,1,5.3,2,1,0.042,0.0
U100059,2025-07-07,0,1,7.72,2,2,0.046,0.0
U100059,2025-07-08,1,1,6.39,3,0,0.027,0.0
U100059,2025-07-09,2,1,4.49,2,0,0.018,0.0
U100059,2025-07-11,4,1,5.32,3,0,0.027,0.0
U100059,2025-07-15,8,1,2.9,3,0,0.027,0.0
U100060,2025-08-23,0,1,17.47,13,2,0.145,0.0
U100061,2025-08-04,0,1,15.69,9,8,0.193,0.0
U100062,2025-07-09,0,1,19.53,8,4,0.128,0.0
U100062,2025-07-13,4,1,16.91,13,1,0.131,0.0
U100062,2025-08-06,28,1,10.93,3,1,0.041,0.0
U100063,2025-07-17,0,1,8.03,7,1,0.102,0.0
U100063,2025-07-20,3,1,6.86,5,4,0.132,0.0
U100063,2025-07-30,13,1,10.35,3,2,0.072,0.0
U100063,2025-08-10,24,1,15.2,12,2,0.18,0.0
U100064,2025-08-20,0,1,10.52,11,3,0.186,0.0
U100064,2025-08-23,3,1,20.54,9,4,0.18,0.0
U100065,2025-06-21,0,1,4.14,2,0,0.018,0.0
U100065,2025-07-30,39,1,9.57,8,2,0.1,0.0
U100066,2025-06-09,0,1,15.08,6,4,0.144,0.0
U100066,2025-06-10,1,1,18.38,9,3,0.162,0.0
U100066,2025-06-11,2,1,28.87,11,14,0.384,0.0
U100066,2025-06-19,10,1,56.38,22,11,0.462,0.0
U100066,2025-06-28,19,1,50.92,21,5,0.342,0.0
U100066,2025-07-06,27,1,56.11,31,12,0.588,0.0
U100067,2025-08-26,0,1,14.69,9,1,0.126,1.7003453428456639
U100068,2025-08-12,0,1,10.79,3,1,0.041,0.0
U100069,2025-06-08,0,1,16.06,10,2,0.156,0.0
U100069,2025-06-17,9,1,16.35,7,3,0.138,0.0
U100070,2025-06-25,0,1,15.78,10,2,0.156,0.0
U100070,2025-06-26,1,1,20.88,12,4,0.216,0.0
U100070,2025-06-27,2,1,15.62,9,1,0.126,0.0
U100070,2025-07-29,34,1,6.85,1,1,0.03,0.0
U100070,2025-07-30,35,1,9.97,6,0,0.072,0.0
U100070,2025-07-31,36,1,17.19,6,2,0.108,0.0
U100071,2025-06-19,0,1,8.85,4,1,0.066,0.8459004469433202
U100071,2025-06-21,2,1,5.54,1,1,0.03,0.0
U100071,2025-06-22,3,1,6.59,2,2,0.06,0.0
U100071,2025-06-30,11,1,5.77,5,0,0.06,0.0
U100071,2025-07-02,13,1,4.67,2,1,0.042,0.0
U100072,2025-05-18,0,1,15.23,12,4,0.164,2.0404144114147966
U100072,2025-05-19,1,1,21.72,9,7,0.179,0.0
U100072,2025-05-23,5,1,38.03,18,6,0.246,0.0
U100072,2025-05-28,10,1,31.86,22,8,0.31,0.0
U100072,2025-06-13,26,1,27.19,14,7,0.224,0.0
U100072,2025-06-30,43,1,27.11,17,4,0.209,0.0
U100073,2025-08-23,0,1,25.31,12,5,0.178,0.0
U100073,2025-08-27,4,1,22.86,9,8,0.193,0.0
U100074,2025-06-18,0,1,30.5,18,2,0.252,0.0
U100074,2025-06-25,7,1,17.67,10,2,0.156,0.0
U100074,2025-07-02,14,1,17.56,6,1,0.09,0.0
U100074,2025-07-14,26,1,34.64,14,7,0.294,0.0
U100075,2025-08-14,0,1,30.21,15,6,0.288,0.0
U100075,2025-08-15,1,1,28.46,17,6,0.312,0.0
U100075,2025-08-19,5,1,49.47,20,9,0.402,0.0
U100075,2025-08-21,7,1,22.35,8,5,0.186,0.0
U100076,2025-05-23,0,1,59.43,42,11,0.702,0.0
U100076,2025-05-24,1,1,47.56,27,5,0.414,0.0
U100076,2025-05-26,3,1,78.16,38,11,0.654,0.0
U100076,2025-06-01,9,1,62.01,39,13,0.702,0.0
U100076,2025-06-02,10,1,23.3,7,0,0.084,0.0
U100076,2025-06-05,13,1,103.19,43,20,0.876,0.0
U100077,2025-07-05,0,1,9.72,3,1,0.054,8.535904510064412
U100077,2025-07-07,2,1,2.05,0,0,0.0,0.0
U100077,2025-07-09,4,1,4.59,1,0,0.012,0.0
U100077,2025-07-13,8,1,5.42,1,1,0.03,0.0
U100077,2025-07-31,26,1,6.69,7,1,0.102,0.0
U100077,2025-08-02,28,1,4.74,4,0,0.048,0.0
U100077,2025-08-12,38,1,4.71,3,0,0.036,0.0
U100078,2025-05-03,0,1,15.53,2,3,0.078,0.0
U100078,2025-05-04,1,1,16.66,11,3,0.186,0.0
U100078,2025-05-05,2,1,21.03,6,1,0.09,0.0
U100078,2025-05-07,4,1,5.55,3,0,0.036,0.0
U100078,2025-05-12,9,1,38.88,16,6,0.3,0.0
U100078,2025-06-02,30,1,26.51,14,7,0.294,0.0
U100079,2025-07-31,0,1,12.84,4,3,0.102,0.0
U100079,2025-08-01,1,1,9.85,2,2,0.06,0.0
U100080,2025-07-09,0,1,47.34,22,6,0.282,0.0
U100081,2025-07-24,9,1,28.6,15,2,0.163,0.0
U100081,2025-08-19,35,1,27.17,14,2,0.154,0.0
U100082,2025-05-07,0,1,5.28,3,2,0.072,0.0
U100082,2025-05-10,3,1,10.24,4,1,0.066,0.0
U100082,2025-05-14,7,1,18.76,9,0,0.108,0.0
U100082,2025-05-22,15,1,9.85,7,3,0.138,0.0
U100083,2025-05-26,0,1,9.52,5,2,0.096,0.0
U100083,2025-05-27,1,1,13.98,6,4,0.144,0.0
U100083,2025-06-01,6,1,25.85,13,3,0.21,0.0
U100083,2025-06-07,12,1,13.47,5,1,0.078,0.0
U100083,2025-06-16,21,1,13.96,6,1,0.09,0.0
U100083,2025-08-06,72,1,15.64,9,3,0.162,0.0
U100083,2025-08-22,88,1,8.82,3,0,0.036,0.0
U100084,2025-05-09,0,1,31.21,16,3,0.246,0.0
U100084,2025-05-10,1,1,51.95,34,8,0.552,0.0
U100084,2025-05-12,3,1,28.93,12,7,0.27,0.0
U100084,2025-05-16,7,1,35.03,10,7,0.246,0.0
U100084,2025-07-09,61,1,64.76,40,8,0.624,0.0
U100085,2025-06-04,0,1,14.12,6,3,0.096,0.0
U100085,2025-06-21,17,1,23.53,6,2,0.082,0.0
U100085,2025-06-24,20,1,22.9,16,6,0.228,0.0
U100085,2025-07-08,34,1,15.81,5,6,0.129,0.0
U100085,2025-08-07,64,1,11.17,3,4,0.083,0.0
U100086,2025-07-15,0,1,39.74,18,5,0.306,0.0
U100086,2025-07-17,2,1,19.79,7,4,0.156,0.0
U100086,2025-07-21,6,1,14.01,10,4,0.192,0.0
U100086,2025-07-27,12,1,46.48,20,9,0.402,0.0
U100086,2025-08-11,27,1,11.1,2,2,0.06,0.0
U100087,2025-07-07,0,1,48.06,28,6,0.444,0.0
U100087,2025-07-12,5,1,34.16,17,5,0.294,0.0
U100087,2025-07-27,20,1,58.45,21,11,0.45,0.0
U100087,2025-08-06,30,1,55.13,25,15,0.57,0.0
U100087,2025-08-25,49,1,154.18,72,24,1.296,0.0
U100088,2025-07-13,0,1,25.49,9,1,0.126,0.0
U100088,2025-07-14,1,1,16.36,8,2,0.132,0.0
U100088,2025-08-03,21,1,33.28,15,7,0.306,0.0
U100089,2025-07-05,0,1,31.27,22,5,0.268,0.0
U100089,2025-07-06,1,1,22.11,8,1,0.086,0.0
U100089,2025-07-07,2,1,35.84,16,4,0.2,0.0
U100089,2025-07-08,3,1,9.3,5,2,0.073,0.0
U100089,2025-07-09,4,1,83.37,52,14,0.664,0.0
U100090,2025-06-02,0,1,21.95,12,5,0.178,0.0
U100090,2025-06-04,2,1,32.85,11,5,0.169,0.0
U100090,2025-06-06,4,1,37.03,16,3,0.186,0.0
U100090,2025-06-10,8,1,13.55,6,0,0.054,0.0
U100090,2025-06-11,9,1,19.55,10,6,0.174,0.0
U100090,2025-06-20,18,1,16.33,7,5,0.133,0.0
U100090,2025-07-04,32,1,8.94,2,2,0.046,0.0
U100091,2025-05-30,0,1,2.03,1,0,0.009,0.0
U100091,2025-06-13,14,1,7.83,0,0,0.0,0.0
U100091,2025-07-21,52,1,4.87,4,0,0.036,0.0
U100091,2025-07-22,53,1,5.82,2,1,0.032,0.0
U100092,2025-05-17,0,1,21.79,11,3,0.186,0.0
U100092,2025-05-18,1,1,17.79,12,1,0.162,0.0
U100092,2025-06-26,40,1,39.86,23,2,0.312,0.0
U100092,2025-08-14,89,1,13.48,6,4,0.144,0.0
U100093,2025-08-10,0,1,16.83,13,5,0.246,0.0
U100093,2025-08-11,1,1,21.01,15,2,0.216,0.0
U100093,2025-08-16,6,1,7.46,8,0,0.096,0.0
U100094,2025-07-13,0,1,21.64,9,4,0.18,0.0
U100094,2025-07-14,1,1,26.09,16,1,0.21,0.0
U100094,2025-07-21,8,1,29.42,18,2,0.252,0.0
U100094,2025-08-08,26,1,16.17,9,4,0.18,0.0
U100095,2025-05-23,0,1,11.14,6,1,0.068,0.0
U100095,2025-05-24,1,1,5.33,0,2,0.028,0.0
U100095,2025-05-25,2,1,16.47,10,5,0.16,0.0
U100095,2025-06-02,10,1,12.61,2,3,0.06,0.0
U100095,2025-08-17,86,1,6.61,1,1,0.023,0.0
U100096,2025-05-22,0,1,30.06,14,5,0.258,0.0
U100096,2025-05-23,1,1,15.6,9,2,0.144,0.0
U100096,2025-05-24,2,1,34.11,22,6,0.372,0.0
U100096,2025-05-25,3,1,22.89,9,7,0.234,0.0
U100096,2025-06-10,19,1,19.69,13,3,0.21,0.0
U100096,2025-06-30,39,1,38.91,17,6,0.312,0.0
U100097,2025-08-13,0,1,18.19,7,3,0.138,0.0
U100097,2025-08-24,11,1,17.78,6,3,0.126,0.0
U100098,2025-07-29,0,1,21.93,6,5,0.162,0.0
U100098,2025-08-02,4,1,42.99,28,7,0.462,0.0
U100099,2025-07-19,0,1,21.68,16,4,0.2,0.0
U100099,2025-07-22,3,1,12.22,4,4,0.092,0.0
U100099,2025-07-24,5,1,48.79,23,5,0.277,0.0
U100100,2025-06-18,0,1,15.9,6,3,0.126,0.0
U100100,2025-06-19,1,1,33.71,11,4,0.204,0.0
U100100,2025-07-08,20,1,19.95,8,2,0.132,0.0
U100100,2025-07-23,35,1,15.13,11,2,0.168,0.0
U100100,2025-07-30,42,1,30.58,15,7,0.306,0.0
U100100,2025-08-16,59,1,30.1,11,5,0.222,0.0
U100100,2025-08-25,68,1,12.11,11,2,0.168,0.0
U100101,2025-06-01,0,1,15.18,7,1,0.102,0.0
U100101,2025-06-07,6,1,13.96,8,1,0.114,0.0
U100101,2025-07-13,42,1,14.45,7,0,0.084,0.0
U100102,2025-08-26,0,1,23.25,12,6,0.192,0.0
U100103,2025-08-04,0,1,15.23,5,1,0.078,0.0
U100103,2025-08-06,2,1,49.58,24,8,0.432,0.0
U100103,2025-08-08,4,1,18.34,5,4,0.132,0.0
U100104,2025-06-06,0,1,25.72,15,6,0.288,0.0
U100104,2025-06-09,3,1,22.19,11,3,0.186,18.34920413950283
U100104,2025-06-18,12,1,44.38,20,6,0.348,0.0
U100104,2025-06-24,18,1,17.72,7,3,0.138,0.0
U100105,2025-08-10,0,1,7.69,5,0,0.06,0.0
U100105,2025-08-11,1,1,22.39,10,3,0.174,0.0
U100105,2025-08-12,2,1,23.16,11,4,0.204,0.0
U100105,2025-08-17,7,1,20.01,7,4,0.156,0.0
U100105,2025-08-23,13,1,12.6,8,1,0.114,0.0
U100105,2025-08-28,18,1,14.11,7,2,0.12,0.0
U100106,2025-08-01,1,1,28.6,9,3,0.123,0.0
U100106,2025-08-02,2,1,7.34,2,0,0.018,0.0
U100106,2025-08-07,7,1,10.03,0,3,0.042,0.0
U100106,2025-08-16,16,1,38.67,17,7,0.251,0.0
U100107,2025-06-05,0,1,18.18,14,2,0.204,0.0
U100107,2025-06-11,6,1,22.37,8,5,0.186,0.0
U100107,2025-06-18,13,1,28.87,15,7,0.306,0.0
U100107,2025-06-25,20,1,47.75,25,6,0.408,0.0
U100107,2025-06-28,23,1,9.3,5,1,0.078,0.0
U100107,2025-07-04,29,1,20.79,11,1,0.15,0.0
U100108,2025-06-21,0,1,6.9,6,2,0.108,0.0
U100108,2025-07-11,20,1,7.63,8,1,0.114,0.0
U100109,2025-05-23,0,1,9.42,5,1,0.059,0.0
U100109,2025-05-25,2,1,6.69,3,2,0.055,0.0
U100109,2025-05-27,4,1,10.38,3,0,0.027,0.0
U100109,2025-06-15,23,1,5.04,2,0,0.018,0.0
U100110,2025-05-14,0,1,17.29,8,3,0.15,0.0
U100110,2025-05-18,4,1,22.45,10,5,0.21,0.0
U100110,2025-06-02,19,1,11.59,1,1,0.03,0.0
U100110,2025-06-04,21,1,6.77,4,0,0.048,0.0
U100110,2025-06-05,22,1,44.9,21,3,0.306,0.0
U100110,2025-06-08,25,1,7.85,5,2,0.096,0.0
U100110,2025-06-23,40,1,9.16,8,2,0.132,0.0
U100111,2025-07-28,2,1,7.86,7,1,0.077,0.0
U100111,2025-07-29,3,1,6.47,6,0,0.054,0.0
U100111,2025-07-30,4,1,16.34,9,1,0.095,0.0
U100111,2025-08-11,16,1,7.76,6,3,0.096,0.0
U100111,2025-08-16,21,1,6.13,1,1,0.023,0.0
U100111,2025-08-18,23,1,10.44,7,3,0.105,0.0
U100112,2025-06-02,0,1,21.22,8,5,0.142,0.0
U100112,2025-06-16,14,1,14.28,11,2,0.127,0.0
U100112,2025-06-27,25,1,10.97,4,3,0.078,0.0
U100112,2025-07-03,31,1,14.44,6,1,0.068,0.0
U100112,2025-08-24,83,1,14.95,5,2,0.073,0.0
U100113,2025-08-07,0,1,12.18,7,4,0.119,0.8459004469433202
U100113,2025-08-18,11,1,16.92,6,2,0.082,0.0
U100114,2025-08-28,0,1,8.13,12,3,0.198,0.0
U100115,2025-05-10,0,1,16.26,9,3,0.123,0.0
U100115,2025-05-13,3,1,23.71,17,2,0.181,0.0
U100115,2025-05-14,4,1,9.35,10,0,0.09,0.0
U100115,2025-05-17,7,1,15.27,9,0,0.081,0.0
U100115,2025-05-21,11,1,22.2,9,5,0.151,0.0
U100115,2025-07-30,81,1,19.69,6,2,0.082,0.0
U100116,2025-06-26,0,1,4.24,1,1,0.023,0.0
U100116,2025-06-27,1,1,16.99,10,2,0.118,0.0
U100116,2025-07-01,5,1,10.78,6,0,0.054,0.0
U100116,2025-07-04,8,1,7.44,2,1,0.032,0.0
U100116,2025-08-16,51,1,14.7,4,2,0.064,0.0
U100117,2025-08-05,0,1,12.0,5,1,0.059,0.0
U100117,2025-08-06,1,1,32.81,10,2,0.118,0.0
