user_id,install_date,country,state,os,device_model,channel,campaign,engagement_factor,base_time_spent_min
U100128,2025-07-20,US,GA,Android,Pixel 7,Organic,ORG_StoreSearch,0.7824,13.89
U100129,2025-06-25,US,CT,iOS,iPhone 14,Google UAC,GGL_UAC_Retarget,0.4884,46.17
U100130,2025-07-13,US,FL,Android,Pixel 7,Google UAC,GGL_UAC_Retarget,0.6148,19.68
U100131,2025-06-02,US,OR,Android,Galaxy S22,Organic,ORG_NA,0.9213,20.59
U100132,2025-06-02,US,CA,iOS,iPhone 14,Organic,ORG_NA,1.0139,13.05
U100133,2025-05-14,US,AZ,Android,Galaxy S23,Google UAC,GGL_UAC_iOS,0.8473,14.78
U100134,2025-05-14,US,CA,iOS,iPhone 13,Snapchat,SNP_CPI_Optimized,1.571,16.06
U100135,2025-06-11,US,NY,iOS,iPhone 13,Google UAC,GGL_UAC_Broad,0.7188,27.87
U100136,2025-07-31,US,NC,Android,Pixel 7,Google UAC,GGL_UAC_Broad,1.514,32.78
U100137,2025-07-12,US,NC,Android,Moto G Power,Facebook,FB_Interest_Puzzle,0.9868,14.34
U100138,2025-05-13,US,TN,iOS,iPhone 15,Google UAC,GGL_UAC_Broad,0.9448,17.79
U100139,2025-08-11,US,MI,iOS,iPhone 15,CrossPromo,XPR_PartnerA,1.3139,16.0
U100140,2025-07-12,US,NC,iOS,iPhone 13,Snapchat,SNP_CPI_Optimized,0.7049,26.35
U100141,2025-08-24,US,SC,iOS,iPhone 15,Organic,ORG_StoreSearch,0.7932,22.75
U100142,2025-07-20,US,PA,Android,Galaxy S23,Google UAC,GGL_UAC_Broad,0.5547,17.21
U100143,2025-05-22,US,TX,iOS,iPhone SE 3,Google UAC,GGL_UAC_Retarget,1.3153,29.82
U100144,2025-06-26,US,TX,iOS,iPhone 15,Google UAC,GGL_UAC_Retarget,1.0348,23.32
U100145,2025-07-17,US,IL,Android,Pixel 7,Organic,ORG_StoreSearch,1.4037,12.24
U100146,2025-05-04,US,WA,iOS,iPhone 13,Facebook,FB_LAL_Payers,0.9821,18.07
U100147,2025-05-02,US,CA,iOS,iPhone 13,Google UAC,GGL_UAC_iOS,1.4067,16.48
U100148,2025-05-16,US,CA,Android,Pixel 7,Organic,ORG_Blog,0.671,10.98
U100149,2025-05-31,US,CA,iOS,iPhone 14,Organic,ORG_StoreSearch,1.343,16.08
U100150,2025-06-21,US,NC,Android,Pixel 7,TikTok,TTK_SparkAds,0.7717,31.81
U100151,2025-06-28,US,NY,iOS,iPhone 14,Organic,ORG_StoreSearch,0.9058,31.12
U100152,2025-05-17,US,TX,iOS,iPhone 15,Organic,ORG_StoreSearch,1.2109,28.42
U100153,2025-07-20,US,NC,iOS,iPhone 13,Google UAC,GGL_UAC_Broad,2.2959,26.57
U100154,2025-07-11,US,MA,iOS,iPhone 13,CrossPromo,XPR_PartnerB,1.2561,19.97
U100155,2025-06-05,US,FL,iOS,iPhone SE 3,Organic,ORG_StoreSearch,1.3044,13.33
U100156,2025-05-02,US,NC,iOS,iPhone 15,Facebook,FB_LAL_Payers,0.7275,23.86
U100157,2025-05-10,US,CA,iOS,iPhone 14,Apple Search Ads,ASA_Exact_Solitaire,0.9635,7.9
U100158,2025-06-17,US,LA,iOS,iPhone SE 3,Organic,ORG_Blog,0.8708,12.86
U100159,2025-05-19,US,FL,iOS,iPhone 14,Apple Search Ads,ASA_Broad_Card,1.5889,31.27
U100160,2025-06-15,US,UT,Android,Pixel 7,Google UAC,GGL_UAC_Broad,0.8535,14.07
U100161,2025-07-15,US,CT,Android,Pixel 7,Facebook,FB_LAL_Payers,1.5394,24.79
U100162,2025-07-05,US,TN,Android,Galaxy S23,Facebook,FB_Interest_Puzzle,0.5376,15.01
U100163,2025-05-28,US,CA,Android,Moto G Power,Facebook,FB_Video_30s,1.5833,23.7
U100164,2025-06-11,US,GA,iOS,iPhone SE 3,Organic,ORG_StoreSearch,0.6411,8.33
U100165,2025-07-13,US,CA,Android,Galaxy S23,Apple Search Ads,ASA_Broad_Card,1.2732,34.0
U100166,2025-08-12,US,MN,Android,Pixel 8,Google UAC,GGL_UAC_iOS,0.6404,10.3
U100167,2025-07-30,US,IN,iOS,iPhone 14,Organic,ORG_NA,1.1587,9.11
U100168,2025-07-06,US,OK,iOS,iPhone SE 3,Organic,ORG_StoreSearch,0.6157,33.1
U100169,2025-06-13,US,MI,iOS,iPhone 15,Facebook,FB_Interest_Puzzle,1.3697,17.97
U100170,2025-06-13,US,OH,iOS,iPhone 14,Facebook,FB_Video_30s,1.2688,15.44
U100171,2025-08-14,US,OH,iOS,iPhone SE 3,Organic,ORG_Blog,0.7116,39.42
U100172,2025-05-05,US,FL,Android,Galaxy S22,Google UAC,GGL_UAC_iOS,1.1402,25.94
U100173,2025-08-27,US,PA,Android,Pixel 8,Organic,ORG_StoreSearch,1.3218,14.38
U100174,2025-07-19,US,NJ,iOS,iPhone 14,Facebook,FB_Video_30s,0.6254,16.83
U100175,2025-07-21,US,LA,Android,Pixel 8,Organic,ORG_NA,0.5983,30.79
U100176,2025-05-05,US,NC,iOS,iPhone 14,Facebook,FB_Interest_Puzzle,0.5895,11.12
U100177,2025-07-12,US,WI,Android,Galaxy S23,Google UAC,GGL_UAC_Retarget,0.557,37.04
U100178,2025-06-28,US,CO,Android,Galaxy S23,Snapchat,SNP_Story_Install,0.5883,14.42
U100179,2025-05-13,US,OH,iOS,iPhone SE 3,Organic,ORG_StoreSearch,1.3099,11.64
U100180,2025-06-03,US,FL,Android,Galaxy S23,Google UAC,GGL_UAC_iOS,1.131,31.0
U100181,2025-08-15,US,NJ,iOS,iPhone 15,Organic,ORG_NA,0.4591,25.99
U100182,2025-07-05,US,PA,iOS,iPhone 13,Snapchat,SNP_CPI_Optimized,0.7378,7.4
U100183,2025-06-19,US,CA,Android,Pixel 7,TikTok,TTK_UGC_Puzzle,0.5694,17.06
U100184,2025-05-09,US,FL,Android,Galaxy S23,Organic,ORG_NA,1.2771,10.36
U100185,2025-07-25,US,UT,Android,Galaxy S23,Facebook,FB_Interest_Puzzle,0.7559,26.83
U100186,2025-07-24,US,CA,Android,Pixel 8,Apple Search Ads,ASA_Broad_Card,0.4878,42.53
U100187,2025-07-13,US,WA,Android,Moto G Power,Facebook,FB_LAL_Payers,0.9686,23.55
U100188,2025-07-01,US,MD,Android,Galaxy S23,Facebook,FB_Interest_Puzzle,1.1533,12.31
U100189,2025-06-22,US,NJ,Android,Galaxy S22,Organic,ORG_NA,0.6179,28.09
U100190,2025-07-11,US,NC,iOS,iPhone 14,Organic,ORG_NA,0.8139,17.55
U100191,2025-05-29,US,WA,iOS,iPhone 13,TikTok,TTK_SparkAds,0.6307,17.35
U100192,2025-08-21,US,IL,Android,Pixel 8,TikTok,TTK_SparkAds,1.4883,14.12
U100193,2025-07-10,US,CA,iOS,iPhone 14,Facebook,FB_Video_30s,0.7614,18.97
U100194,2025-06-07,US,OR,Android,Pixel 8,Google UAC,GGL_UAC_Retarget,0.6779,17.37
U100195,2025-06-23,US,IL,iOS,iPhone SE 3,Google UAC,GGL_UAC_Broad,0.8865,5.41
U100196,2025-08-05,US,VA,iOS,iPhone 13,Apple Search Ads,ASA_Discovery,0.8328,18.23
U100197,2025-05-20,US,GA,Android,Moto G Power,TikTok,TTK_SparkAds,1.1917,16.8
U100198,2025-06-05,US,CA,iOS,iPhone 14,TikTok,TTK_SparkAds,1.4717,21.41
U100199,2025-07-21,US,KY,iOS,iPhone 13,Apple Search Ads,ASA_Discovery,1.4762,6.6
U100200,2025-06-07,US,IN,iOS,iPhone 13,Facebook,FB_LAL_Payers,0.7767,23.25
U100201,2025-08-04,US,TX,Android,Pixel 8,Organic,ORG_StoreSearch,1.0223,18.26
U100202,2025-05-16,US,CT,Android,Pixel 8,Organic,ORG_NA,1.6412,23.06
U100203,2025-07-31,US,AZ,Android,Galaxy S22,TikTok,TTK_UGC_Puzzle,1.6666,7.97
U100204,2025-05-09,US,PA,iOS,iPhone 13,Facebook,FB_Video_30s,0.6374,9.71
U100205,2025-05-02,US,MI,Android,Galaxy S22,Organic,ORG_StoreSearch,1.1467,7.05
U100206,2025-08-16,US,CA,iOS,iPhone 13,Organic,ORG_Blog,1.0717,19.37
U100207,2025-07-09,US,GA,iOS,iPhone 14,Facebook,FB_Interest_Puzzle,1.3107,15.15
U100208,2025-06-12,US,CA,iOS,iPhone 14,Organic,ORG_StoreSearch,1.488,16.75
U100209,2025-05-28,US,GA,iOS,iPhone 13,Organic,ORG_StoreSearch,0.5967,8.97
U100210,2025-07-14,US,GA,iOS,iPhone 15,Facebook,FB_Video_30s,0.6864,9.83
U100211,2025-07-01,US,CO,iOS,iPhone 14,Facebook,FB_Interest_Puzzle,1.3009,5.17
U100212,2025-08-27,US,AZ,iOS,iPhone 13,Facebook,FB_Video_30s,0.96,9.19
U100213,2025-08-26,US,NY,Android,Galaxy S22,Organic,ORG_Blog,0.3712,13.01
U100214,2025-07-16,US,MN,iOS,iPhone 13,Facebook,FB_LAL_Payers,0.4646,13.35
U100215,2025-06-23,US,NC,Android,Moto G Power,Organic,ORG_StoreSearch,1.1794,17.4
U100216,2025-06-28,US,MI,Android,Pixel 7,Google UAC,GGL_UAC_iOS,1.2657,26.34
U100217,2025-07-21,US,TX,iOS,iPhone 13,Apple Search Ads,ASA_Broad_Card,0.5274,12.75
U100218,2025-05-13,US,WI,iOS,iPhone 14,Facebook,FB_LAL_Payers,1.4045,22.98
U100219,2025-06-09,US,LA,Android,Galaxy S23,TikTok,TTK_UGC_Puzzle,0.8362,26.56
U100220,2025-05-10,US,TN,Android,Pixel 8,Facebook,FB_Interest_Puzzle,0.6011,31.99
U100221,2025-05-09,US,LA,Android,Moto G Power,Facebook,FB_Interest_Puzzle,0.7232,22.99
U100222,2025-05-24,US,NY,Android,Pixel 8,Organic,ORG_NA,0.5548,18.67
U100223,2025-06-28,US,WI,iOS,iPhone 14,Google UAC,GGL_UAC_Broad,0.7073,10.49
U100224,2025-08-03,US,OH,iOS,iPhone 15,Organic,ORG_Blog,0.4285,20.63
U100225,2025-06-28,US,TX,Android,Pixel 7,Organic,ORG_NA,0.8785,14.91
U100226,2025-06-10,US,VA,Android,Pixel 8,CrossPromo,XPR_PartnerA,1.1444,35.82
U100227,2025-05-10,US,VA,Android,Galaxy S23,Google UAC,GGL_UAC_iOS,0.5278,18.84
U100228,2025-07-06,US,NY,Android,Galaxy S23,TikTok,TTK_SparkAds,0.911,16.62
U100229,2025-06-02,US,CA,iOS,iPhone 13,Facebook,FB_Interest_Puzzle,0.6558,36.54
U100230,2025-07-13,US,TX,Android,Moto G Power,Apple Search Ads,ASA_Exact_Solitaire,1.1824,14.14
U100231,2025-08-26,US,IL,Android,Pixel 7,Google UAC,GGL_UAC_iOS,0.3585,17.97
U100232,2025-05-14,US,TX,iOS,iPhone 13,Facebook,FB_Video_30s,1.2029,49.16
U100233,2025-05-26,US,TX,iOS,iPhone 13,Google UAC,GGL_UAC_Broad,0.4373,20.56
U100234,2025-06-26,US,IL,iOS,iPhone 13,Organic,ORG_NA,0.832,31.59
U100235,2025-08-25,US,OR,Android,Galaxy S22,Apple Search Ads,ASA_Exact_Solitaire,0.6814,38.18
U100236,2025-08-01,US,TN,iOS,iPhone 15,Google UAC,GGL_UAC_Broad,0.7833,13.66
U100237,2025-08-16,US,NY,iOS,iPhone 13,Organic,ORG_Blog,0.4908,28.35
U100238,2025-06-10,US,KY,iOS,iPhone SE 3,Facebook,FB_Interest_Puzzle,1.7578,15.24
U100239,2025-08-28,US,NJ,iOS,iPhone 14,Organic,ORG_StoreSearch,0.5408,49.92
U100240,2025-05-13,US,PA,iOS,iPhone 13,Snapchat,SNP_Story_Install,0.5582,37.05
U100241,2025-05-07,US,PA,Android,Galaxy S23,Snapchat,SNP_CPI_Optimized,1.8551,26.1
U100242,2025-08-11,US,IL,Android,Galaxy S22,TikTok,TTK_UGC_Puzzle,1.0295,30.35
U100243,2025-08-20,US,TX,iOS,iPhone 14,Google UAC,GGL_UAC_Broad,0.5479,12.71
U100244,2025-05-11,US,FL,Android,Pixel 8,Organic,ORG_StoreSearch,0.8594,42.48
U100245,2025-05-14,US,GA,Android,Pixel 8,Snapchat,SNP_Story_Install,0.8234,11.45
U100246,2025-05-04,US,GA,iOS,iPhone 14,Google UAC,GGL_UAC_iOS,0.4607,22.06
U100247,2025-05-13,US,MA,iOS,iPhone 15,Snapchat,SNP_CPI_Optimized,0.6681,12.6
U100248,2025-05-26,US,FL,iOS,iPhone 15,Snapchat,SNP_Story_Install,0.8953,27.68
U100249,2025-08-25,US,AZ,iOS,iPhone 14,TikTok,TTK_UGC_Puzzle,1.5017,43.07
U100250,2025-07-20,US,NC,Android,Pixel 8,Google UAC,GGL_UAC_Retarget,0.839,22.56
U100251,2025-08-02,US,OR,Android,Galaxy S22,Google UAC,GGL_UAC_Broad,0.8646,21.07
U100252,2025-08-02,US,FL,Android,Pixel 8,TikTok,TTK_SparkAds,0.6531,17.01
U100253,2025-07-04,US,SC,Android,Galaxy S23,Google UAC,GGL_UAC_Broad,1.4026,18.93
U100254,2025-08-04,US,MO,Android,Galaxy S22,Organic,ORG_StoreSearch,1.2981,15.22
U100255,2025-07-11,US,NJ,Android,Galaxy S23,Facebook,FB_LAL_Payers,1.2408,40.73
U100256,2025-06-07,US,NJ,iOS,iPhone 13,Snapchat,SNP_CPI_Optimized,0.9462,26.77
U100257,2025-07-07,US,CA,Android,Pixel 7,Facebook,FB_LAL_Payers,0.4774,15.13
U100258,2025-07-04,US,KY,Android,Pixel 7,Facebook,FB_LAL_Payers,1.3975,18.55
U100259,2025-08-07,US,CA,Android,Galaxy S22,Organic,ORG_Blog,0.9258,77.35
U100260,2025-08-26,US,NC,iOS,iPhone 15,Facebook,FB_Video_30s,0.7998,20.62
U100261,2025-06-19,US,FL,Android,Galaxy S22,CrossPromo,XPR_PartnerA,1.0826,37.22
U100262,2025-07-31,US,IL,iOS,iPhone 15,Organic,ORG_StoreSearch,0.9897,13.49
U100263,2025-05-12,US,MI,Android,Galaxy S22,Google UAC,GGL_UAC_iOS,0.59,22.81
U100264,2025-08-02,US,SC,Android,Galaxy S22,TikTok,TTK_SparkAds,0.7959,13.17
U100265,2025-06-14,US,PA,iOS,iPhone 14,Apple Search Ads,ASA_Exact_Solitaire,0.4225,13.77
